stt|type|question|answer1|answer2|answer3|answer4|key
122 VISUAL FLIGHT RULES NAVIGATION (93)||13.Calculate the constant of the cone of a Lambert chart that has the parallel of origin at 30Â°N.|0.3|1|0.866|0.5|4
132 VISUAL FLIGHT RULES NAVIGATION (93)||14.A straight line on a Lambert Conformal Projection chart for normal flight planning purposes:|is a Rhumb line|is approximately a Great Circle|can only be a parallel of latitude|is a Loxodromic line|2
142 VISUAL FLIGHT RULES NAVIGATION (93)||15.Which of the following are methods of representing relief on a map?$1. Spot elevations$2. Lines of latitude$3. Contour lines$4. Different tints of colour$5. Graduated scaling$6. Shading|1, 3, 4, and 6|1, 2, and 5|3, 4, 5, and 6|2, 3, 4, and 5|1
152 VISUAL FLIGHT RULES NAVIGATION (93)||16.A pilot is flying a VFR cross-country flight and spots a landmark at a bearing of 45Â° relative to the track. After 3 minutes the bearing to the landmark is 90Â° relative to the track. If the TAS is 90 kt and there is a tailwind of 30 kt, what is the distance to the landmark at the time$of the second bearing?|2 NM|6 NM|4.5 NM|3 NM|2
162 VISUAL FLIGHT RULES NAVIGATION (93)||17.An aircraft tracks radial 200 inbound to a VOR station with a Magnetic Heading (MH) of 010Â°. After being overhead the VOR station the aircraft tracks radial 090 outbound with a MH of 080Â°. The TAS is 240 kt and the magnetic variation in the area is 5Â°W. What is the wind vector (T)?|320Â°/50 kt|300Â°/50 kt|310Â°/60 kt|330Â°/50 kt|1
172 VISUAL FLIGHT RULES NAVIGATION (93)||18.The distance in NM between point K (32Â°48'N, 078Â°12'E) and point L (32Â°48'N, 034Â°21'E) is...|5676 NM.|2631 NM|2212 NM.|6753 NM.|3
182 VISUAL FLIGHT RULES NAVIGATION (93)||19.Given: TAS = 470 kt, True HDG = 317Â°, W/V = 045Â°(T)/45kt. Calculate the drift angle and GS?|5Â°R - 475 kt|5Â°L - 475 kt|3Â°R - 470 kt|5Â°L - 470 kt|4
192 VISUAL FLIGHT RULES NAVIGATION (93)||20.Given: TAS = 190 kt, HDG (T) = 355Â°, W/V = 165/25kt. Calculate the drift and GS?|1L - 225 kt|1R - 175 kt|1L - 215 kt|1R - 165 kt|3
202 VISUAL FLIGHT RULES NAVIGATION (93)||21.On a Direct Mercator chart, meridians are...|inclined, equally spaced, straight lines that meet at the nearer pole.|parallel, equally spaced, vertical straight lines.|parallel, unequally spaced, vertical straight lines.|inclined, unequally spaced, curved lines that meet at the nearer pole.|2
212 VISUAL FLIGHT RULES NAVIGATION (93)||22.How is layer tinting used to define elevation on a chart?|Different colours indicate ranges of elevation, between defined limits|Different colours indicate the change from land to water features|Different colours indicate points of equal elevation|Different colours indicate specific steepness of elevation|1
222 VISUAL FLIGHT RULES NAVIGATION (93)||23.On a Direct Mercator chart, a humbline appears as a|Curve convex to the nearer pole|Small circle concave to the nearer pole|Straightline|Spiral curve|3
232 VISUAL FLIGHT RULES NAVIGATION (93)||24.Which option describes the greatest potential threat for VFR navigation at night?|When external lighting provides good visual cues,flying by cross-reference to instruments may cause spatial disorientation.|It is difficult to determine the flight direction of other aircraft unless their landing lights are on.|Exposure to red light can cause the eyes to lose dark adaptation and may cause temporary blindness.|The aircraft height during an approach can be easily misjudged due to insufficient external visual cues.|4
242 VISUAL FLIGHT RULES NAVIGATION (93)||25.You are on a VFR cross-country navigation exercise and have turned overhead what you thought was your turning point, 10 minutes later nothing you see matches up with the line you have drawn on your map, You are unsure of your position, Which of the following options would you consider as your first actions?$NOTE: This is an example question and has not been reported as having been seen in this form in an exam.|Immediately turn through 180 degrees and try and find the position you turned over again|Continue on your heading until the time you would expect to be at your next turning point and then turn onto the heading after that|Note the time, speak to air traffic control if you can and consider tuning in a nearby VOR/DME to ascertain your position.|Fly a zigzag course left and right 30 degrees and try and find a line feature to follow|3
252 VISUAL FLIGHT RULES NAVIGATION (93)||26.An aircraft is flying a low-level VFR route over a mountainous area, which is covered by snow,in high latitudes. Concerning power lines, they may be....|easily identified, as they are always marked on maps, and can therefore be safely avoided.|dangerous if they are situated along a ridge, but pose less of a risk if they are crossing a valley|safely overflown due to their small vertical extent.|dangerous,especially if they cross valleys, but pose less of a risk if they are situated along a ridge.|4
262 VISUAL FLIGHT RULES NAVIGATION (93)||27.Contour lines on aeronautical maps and charts connect points...|having the same longitude.|of equal latitude.|having the same elevation.|with the same variation.|3
272 VISUAL FLIGHT RULES NAVIGATION (93)||28.Which of the following statements most accurately describes the appearance of parallels of latitude on a polar stereographic chart? Parallels of latitude appear as...|curves convex to straight lines on the chart.|straight lines intersecting with meridians at 90Â°.|curves concave to the equator.|concentric circles around the pole.|4
282 VISUAL FLIGHT RULES NAVIGATION (93)||29.The distance measured between two points on a navigation map is 42 mm (millimetres). The scale of the chart is 1:1 600 000. The actual distance between these two point is approximately:|67.20 NM|370.00 NM|3.69 NM|36.30 NM|4
292 VISUAL FLIGHT RULES NAVIGATION (93)||30.A chart has the scale 1: 1 000 000. From A to B on the chart measures 3.8 cm, the distance from A to B in NM is:|70.4|20.5|205|38|2
302 VISUAL FLIGHT RULES NAVIGATION (93)||31.On a Lambert conformal conic chart, the distance between parallels of latitude spaced the same number of degrees apart:|is smaller between the standard parallels than outside them|is larger between the standard parallels and is smaller outside them|is constant throughout the chart|is constant between the standard parallels and is greater outside them|1
312 VISUAL FLIGHT RULES NAVIGATION (93)||32.According to ICAO Annex 4 Aeronautical charts (Appendix 3 Colour Guide) what colour is recommended for depicting contours|Blue|Brown|Green|Yellow|2
322 VISUAL FLIGHT RULES NAVIGATION (93)||33.How does the scale vary on a Direct Mercator chart?|The scale is constant.|The scale decreases with increasing distance from the Equator.|The scale increases south of the Equator and decreases north of the Equator.|The scale increases with increasing distance from the Equator.|4
332 VISUAL FLIGHT RULES NAVIGATION (93)||34.The chart that is generally used for navigation in polar areas is based on a:|Stereographical projection|Direct Mercator projection|Lambert conformal projection|Gnomonic projection|1
342 VISUAL FLIGHT RULES NAVIGATION (93)||35.Where on a Direct Mercator projection is the chart convergency correct compared to the Earth convergency?|All over the chart.|At the Equator.|At the poles.|At the two parallels of tangency.|2
352 VISUAL FLIGHT RULES NAVIGATION (93)||36.Which of the following statements describes the appearance of a great circle route on a Direct Mercator chart?|curve concave to the nearest pole.|straight line.|curve concave to the equator.|rhumb line.|3
362 VISUAL FLIGHT RULES NAVIGATION (93)||37.What advantage is there in keeping a VFR chart oriented to track direction while navigating visually in-flight?|The chart can be folded and stored more easily in-flight.|Aeronautical and topographical information can be easily read.|Visualisation of the surrounding terrain may be easier.|Estimation of track direction while diverting is simpler.|3
372 VISUAL FLIGHT RULES NAVIGATION (93)||38.(For this question use the image or VFR chart ED-4 from the Jeppesen GSPRM 2017). A pilot is planning a VFR flight from aerodrome Arnbruck (EDNB) (N49Â°08', E012Â°59') to aerodrome Hohenfels (ETIH) (N49Â°13', E011Â°50'), departing at midday. What option describes the best means of checking the groundspeed?|"The parallel river running through the town of Nittenau (N49Â°12'E012Â°18"")."|The road A93, which crosses the track.|Passing abeam (opposite) the lighted mast at N49Â°03', E012Â°10'|"Passing abeam Griesau aerodrome (EDPG) (N48Â°57', E012*25"")"|2
382 VISUAL FLIGHT RULES NAVIGATION (93)|| $39.What is the only advantage in keeping a VFR chart orientated to True North while navigating visually in-flight?|Visualisation of the surrounding terrain may be easier.|Line features can be identified and followed more easily.|Aeronautical and topographical labels can be easily read.|The chart can be folded and stored more easily in-flight.|3
392 VISUAL FLIGHT RULES NAVIGATION (93)||40.(See Image). A pilot has planned a flight from aerodrome Strunkovice (LKSR) (N49Â°05', E014Â°04') to aerodrome Hohenfels (ETIH) (N49Â°13', E011Â°50') using the route shown on the annex. The pilot has been looking out while the aircraft has been drifting to the right of track. NOT looking at the stop watch, he/she mistakes EDNF (N48Â°50', E013Â°22') for EDMV (N48Â°38', E013Â°12') and turns right for the next leg. Seeing the mast, with elevation 3754 ft (N48Â°49', E013Â°13'), there are doubts about the aircraft's position. What is the best option to follow in order to re-establish the aircraft's position?|Circle to establish the aircraft's exact position.|Continue on the present heading in order to reach the next waypoint|Climb to a higher level, reverse track back to aerodrome Strunkovice, and re-route from there.|Tune in the RODING (RDG) VOR/DME to confirm the aircraft's position and re-route accordingly.|4
402 VISUAL FLIGHT RULES NAVIGATION (93)|| $41.A pilot is planning a VFR flight close to controlled airspace. Due to airspace restrictions, part of the flight will be flown at low level. Compared to flying at a greater height above the ground, which of the following is a problem of navigation at low level that should be considered when planning the flight?|Features with great vertical extent are harder to see.|The feeling that you are flying more slowly over the ground changes how you perceive distance.|Navigation features can be noticed more easily, but are more difficult to identify.|Visual range to the horizon is restricted at low level.|4
412 VISUAL FLIGHT RULES NAVIGATION (93)||42.You are planing a VFR flight in the day. Due to weather delays you must now undertake the flight at night in clear weather. What hazard could pose the greatest threat to your flight?|Reduced visibility to identify features planned for navigation in the day.|Difficulty recognising towns (including well lit ones)|Tall masts or other well lit obstacles.|Difficulty recognising the aerodrome beacon.|1
422 VISUAL FLIGHT RULES NAVIGATION (93)||43.The pilot is in radio contact with an Air Traffic Control unit, but has become unsure of the aircraft's position. What should be the pilot's initial action(s) if fuel is NOT critical?|Change frequency to 121.5 MHz and make an urgency (PAN) call.|Turn back towards the aircraft's last confirmed position.|Note the time and request assistance from the ATC unit.|Continue to fly on the current heading until position is established.|3
432 VISUAL FLIGHT RULES NAVIGATION (93)||44.When a chart meets the ICAO recommendations for conformity, what does this mean when using this chart for navigational purposes?|For two same sized squares drawn on the chart at different locations, the underlying ground area on Earth will have the same surface size.|A straight line drawn on the chart will approximate a great circle.|Meridians are printed as vertical lines perpendicular to the edges of the chart.|A straight line on the chart between two points does NOT necessarily represent the shortest ground distance between those two points.|2
442 VISUAL FLIGHT RULES NAVIGATION (93)||45.Which one of the following statements is correct concerning the appearance of great circles, with the exception of meridians, on a Polar Stereographic chart?|The higher the latitude, the closer they approximate to a straight line.|Any straight line is a great circle.|They are curves convex to the Pole.|They are complex curves that can be convex and/or concave to the Pole.|1
452 VISUAL FLIGHT RULES NAVIGATION (93)||46.A Lambert conformal conic chart has a constant of the cone of 0.80. A straight line course drawn on this chart from A (53Â°N 004Â°W) to B is 080Â° at A; course at B is 092Â°(T). What is the longitude of B?|009Â°36'E|019Â°E|011Â°E|008Â°E|3
462 VISUAL FLIGHT RULES NAVIGATION (93)||47.A straight line from A (53Â°N, 155Â°W) to B (53Â°N, 170Â°E) is drawn on a Lambert Conformal conical chart with standard parallels at 50Â°N and 56Â°N. When passing the meridian 175Â°E, the True Track is:|260.0Â°|102.5Â°|257.5Â°|100.0Â°|1
472 VISUAL FLIGHT RULES NAVIGATION (93)||48.Which are the two largest scales?$1.1:500 000$2.1 cm = 10 NM$3. 1/1 000 000$4.15 000 000$5.1 inch = 50 km|1 and 3|4 and 5|2 and 3|1 and 2|1
482 VISUAL FLIGHT RULES NAVIGATION (93)||49.For this question refer to the image. An aircraft is flying at a constant altitude from A to B over mountainous terrain. Differences in QNH at the given locations are negligible. The terrain clearance will be the smallest overhead...|location 1.|location 3.|location 4.|location 2.|2
492 VISUAL FLIGHT RULES NAVIGATION (93)|| $50.Which option describes the greatest potential threat for VFR navigation at night?|If the aircraft deviates from the planned route, natural obstacles excluded during the planning stage could be a threat as they could be difficult to see.|Due to the specific wavelength of the colour red, lit obstacles are difficult to identify, increasing the potential for a collision.|Location of aerodromes CANNOT be easily identified unless flying overhead, due to low lighting intensity.|During outside scan using peripheral vision, illuminated obstacles appear as being further away than they actually are, giving the impression that there is adequate avoidance time.|1
502 VISUAL FLIGHT RULES NAVIGATION (93)||51.On a Direct Mercator, rhumb lines are...|curves concave to the Equator.|straight lines.|ellipses.|curves convex to the Equator.|2
512 VISUAL FLIGHT RULES NAVIGATION (93)||52.The standard parallels of a Lambert chart are 26Â°N and 48Â°N and the stated scale is 1:2 500 000. Which statement is correct?|The scale at 46Â°N is larger than the scale at 50Â°N.|The scale at 37Â°N is larger than the scale at 20Â°N.|The scale at 30Â°N is smaller than the scale at 37Â°N.|The scale at 28Â°N is smaller than the scale at 24Â°N.|4
522 VISUAL FLIGHT RULES NAVIGATION (93)||53.What is the chart distance between longitudes 179Â° E and 175Â° W on a direct Mercator chart with a scale of 1:5 000 000 at the equator?|70 mm|110 mm|133 mm|165 mm|3
532 VISUAL FLIGHT RULES NAVIGATION (93)||54.Which of the following ground features would be the most suitable to use for VFR$navigation?NOTE: This is an example question designed to reflect a particular 2018 LO and has not been reported as having been seen in this form in an exam.|One of several small gravel extraction sites close to each other 5 NM to the left of your track|A Y-shaped railway junction 2NM left of your track with a ridge of high ground between your track and the junction|A large factory with twin chimneys located by a large river in open countryside 1 NM to the right of your planned track|A small lake in a valley which crosses your track at right angles|3
542 VISUAL FLIGHT RULES NAVIGATION (93)||55.During a low level flight two parallel roads are crossed at right angles by an aircraft. What can the time taken between the road crossings be used to check?|track|drift|position|groundspeed|4
552 VISUAL FLIGHT RULES NAVIGATION (93)||56.By selecting one VHF frequency, in the range of 108 to 112 MHz, on the NAV receiver|rho-theta information from a terminal VOR/DME can be obtained.|rho-rho information from an ILS/DME can be obtained.|rho-theta information from an en-route VOR/DME station can be obtained.|theta-theta information from en-route VORS can be obtained.|1
562 VISUAL FLIGHT RULES NAVIGATION (93)||57.What is a factor to consider when planning a visual approach to an unfamiliar aerodrome just after sunrise?|The duration of twilight.|The position of the Sun.|The phase of the Moon.|The location of the aerodrome reference point.|2
572 VISUAL FLIGHT RULES NAVIGATION (93)||58.Which of the following features are particularly important for VFR navigation by day?$1. Tall masts,$2. Large lakes$3. Streets in a large town$4. Area with several small woods$5. Active power station.|1, 2, and 5|2 and 4 only|2, 3, and 5|1, 3, and 4|1
582 VISUAL FLIGHT RULES NAVIGATION (93)||59.The long-term periodic change in the Earth's magnetic field...|is caused by the westerly movement of the geographic North Pole.|is reflected in the slow movement of the magnetic poles.|is caused by sunspot activity.|mainly affects compass deviation.|2
592 VISUAL FLIGHT RULES NAVIGATION (93)||"60.What is the latitude change from A (50Â°50'47""N, 004Â°21'09""E) to B (34Â°24â€²36â€²â€²N, 004Â°21'09""E)?"|"85Â°15'23""S"|"16Â°26'11""N"|"16Â°26'11""S"|"85Â°15'23""N"|3
602 VISUAL FLIGHT RULES NAVIGATION (93)||61.When descending on a 3Â° path with an average rate of descent of 1600 ft/min from 10000 ft to 2000 ft, you will cover a distance of (1)______,in (2)_______|(1) 27 NM; (2) 5 minutes|(1) 33 NM; (2) 6 minutes 15 seconds|(1) 56 NM; (2) 6 minutes 15 seconds|(1) 44 NM; (2) 5 minutes|1
612 VISUAL FLIGHT RULES NAVIGATION (93)||62.An aircraft is flying at FL300. The approach to the aerodrome is being prepared by the crew. Calculate the TAS at FL180 with the following data:$Constant CAS during descent: 180 kt,$Descent: from FL300 to FL50,$Average headwind component: 35 kt, Outside Air Temperature: ISA -10Â° C.|238 kt|234 kt|222 kt|199 kt|2
622 VISUAL FLIGHT RULES NAVIGATION (93)||63.Given the following information, calculate the current in-flight true (Â°(T)) wind velocity.$Cruise Level: FL410$M: 0.82$OAT: ISA -10Â°C,$Wind Component: +25 kt$Heading: 130Â°(M), Variation: 40Â°W$Track: 122Â°(M)|237Â°/70 kt|197Â°/70 kt|277Â°/70 kt|154Â°/70 kt|2
632 VISUAL FLIGHT RULES NAVIGATION (93)||64.Which of the following variables affect deviation?$1.Magnetic latitude $2.Aircraft heading$3.Aircraft altitude$4.Aircraft electronic equipment|2 and 3 only|1, 2, and 4|3 and 4 only|1, 2, and 3|2
642 VISUAL FLIGHT RULES NAVIGATION (93)||65.Please refer to the annex. On the contour map, the steepest terrain slope is indicated by...|number 1.|number 4.|number 3.|number 2.|2
652 VISUAL FLIGHT RULES NAVIGATION (93)|| $66.Which of the following visual checkpoints are suitable for a VFR navigation flight when the underlying terrain is fully covered by fresh snow?$1. Farm land and vegetation,$2. Roads,$3. Railroads,$4. Large waterways,$5. Vertical checkpoints (e.g. broadcast antennas),$6. Coastlines.|1,4, and 6|2, 3, and 4|4, 5, and 6|1, 2, 3, and 5|3
662 VISUAL FLIGHT RULES NAVIGATION (93)||67.A pilot is on a VFR navigation flight from A (50Â°N, 005Â°E) to B (51Â°N, 005Â°E). The track is presented by a straight line on their map. Which of the following visual landmarks is/are suitable to determine a small deviation off the planned track?|A railroad crossing the track from East to West.|Four windmills on the horizon, with one located at each of the cardinal points (North, South, East and West)|A big city, some 15 NM West of the planned track.|A large waterway running from North to South along the track.|4
672 VISUAL FLIGHT RULES NAVIGATION (93)||68.Which of the following situations is most likely to increase the possibility of Controlled Flight Into Terrain (CFIT) during a VFR flight?|High humidity and unstable air|Significant thermal turbulence|Flying overwater with a strong surface wind.|Overcast sky and snow-covered terrain.|4
682 VISUAL FLIGHT RULES NAVIGATION (93)||69.A pilot is planning a VFR flight across steep, mountainous terrain. Due to airspace$restrictions, the flight will be relatively low above the terrain. Restrictions in VFR navigation in such circumstances can include...|a shorter visual range for navigation features that are down slope, compared to the visual range for similar features situated on flat land.|poor visibility in the valleys when the flight is taking place at mid-day.|a shorter time to see navigation features on the near side of valleys, compared to when flying over a flat landscape.|difficulty in identifying navigation features that are situated on ridges.|3
692 VISUAL FLIGHT RULES NAVIGATION (93)||70.A pilot has prepared for a VFR flight in daytime. The flight is delayed, and the pilot decides to carry out the flight late at night, with clear weather and good visibility forecast. Which of the following is the most significant hazard that the pilot should consider when re-planning for the night flight?|Limited visibility of settlements, including well-lit towns.|Greater hazard associated with lit obstacles such tall masts at night, compared to during the day.|Limited visibility of navigation features that were selected for the original plan.|Difficulty in identifying airfields by their beacons.|3
702 VISUAL FLIGHT RULES NAVIGATION (93)||71.What will be the risk if a night VFR flight navigates out of the studied route?|Obstacles may be present in an area not studied before the flight|Obstacles seem to be closer|Airports may be difficult to identify due to their lighting|Obstacles marked on the chart in red may not be seen if you are using a red wavelength light/torch|1
712 VISUAL FLIGHT RULES NAVIGATION (93)||72.During a visual flight, a useful method for a pilot to resolve any uncertainty in the aircraft's position is to maintain visual contact with the ground and...|fly reverse headings and associated timings until the point of departure is regained.|fly expanding circles until a pinpoint is obtained.|fly the reverse of the heading being flown prior to becoming uncertain until a pinpoint is obtained.|set the heading towards a line feature such as a coastline, motorway, river or railway.|4
722 VISUAL FLIGHT RULES NAVIGATION (93)||73.The feature in the annex is used as a departure and arrival waypoint when leaving the training sector for a navigation flight. On a winter day, during a special VFR flight with low clouds, reduced visibility, and a snowy surface, this waypoint...|is easily noticeable because it is much larger than the surrounding terrain.|will be undetectable because it has a limited vertical extent, compared to the surrounding terrain.|is easily noticeable because it has a distinct rectangular shape.|might disappear in the grey-white landscape.|4
732 VISUAL FLIGHT RULES NAVIGATION (93)|| $74.You are flying VFR on a cloudless night with a full moon, what factor has to be considered when planning the route.|Roads (even when well-lit) will be difficult to identify.|Small rivers will be easy to see.|Visibility will be reduced when flying towards the moon.|Colours will be difficult to identify.|4
742 VISUAL FLIGHT RULES NAVIGATION (93)||75.What is correct as regards the properties of a Great Circle?|The lattitudes of both vertices are of different values, the longitudes are equal although respectvely East and West.|"The interception point of a great circle and the Equator are named ""the vertices"", which are positioned 180Â° apart in longitude."|Both vertices of a great circle are positioned at the same latitude and 180Â° apart in longitude on the same hemisphere.|Both vertices of a great circle are situated at the same distance respectively North and South of the Equator and 180Â° apart in longitude.|4
752 VISUAL FLIGHT RULES NAVIGATION (93)||76.Parallels of latitude, except the equator, are:|Rhumb Lines|Great Circles|Both Rhumb Lines and Great Circles|Neither Rhumb Lines nor Great Circles|1
762 VISUAL FLIGHT RULES NAVIGATION (93)||77.What is the only true great circle on the surface of the WGS-84 ellipsoid?|The prime meridian.|The great circle that is co-incident with the Equator.|The track along any meridian from pole to pole.|The great circle that crosses the Equator at 045Â°(T).|2
772 VISUAL FLIGHT RULES NAVIGATION (93)||78.Your destination aerodrome on the Northern Hemisphere has a higher latitude that the departure aerodrome of your flight. To determine the shortest ground distance, you plot a straight line between the departure and destination aerodrome. You plan to navigate the flight exactly over the plotted line approximating the great circle. Your destination is in a westerly direction. Which of the following statements is correct with respect to this flight?|Due to Earth convergence, the track direction will continuously decrease during the flight.|Convergence decreases with increasing latitude.|Due to the increase in latitude, the final track angle at the destination will be higher than at the departure.|As great circle tracks are plotted as straight lines, they do NOT have a changing track direction.|1
782 VISUAL FLIGHT RULES NAVIGATION (93)||79.An aircraft is in the position (86Â°N, 020Â°E). When following a Rhumb Line Track of 085Â°(T) it will:|Follow a small circle which lies to the North of the parallel of 86Â°N.|Fly via a spiral to the North Pole.|Fly to the north via an arbitrary line.|Follow a line which lies at first to the North of the parallel of 86Â°N but after having passed a DL of 180Â° to the South of it.|2
792 VISUAL FLIGHT RULES NAVIGATION (93)||80.An aircraft is following the 45Â°N parallel of latitude. The track followed is a:|great circle|constant-drift track|constant-heading track|rhumb line|4
802 VISUAL FLIGHT RULES NAVIGATION (93)||81.An aircraft follows a great circle in the Northern Hemisphere. As the aircraft continues beyond the point where the track is 270Â°(T), the great circle track angle will...|decrease and the latitude will increase.|decrease and the latitude will decrease.|increase and the latitude will decrease.|increase and the latitude will increase.|2
812 VISUAL FLIGHT RULES NAVIGATION (93)||82.On a Lambert conformal conic chart, with two standard parallels, the quoted scale is correct:|along the two standard parallels|along the parallel of origin|along the prime meridian|in the area between the standard parallels|1
822 VISUAL FLIGHT RULES NAVIGATION (93)||83.On a Lambert Conformal Conic chart earth convergency is most accurately represented at the:|parallel of origin|north and south limits of the chart|standard parallels|Equator|1
832 VISUAL FLIGHT RULES NAVIGATION (93)||84.The nominal scale of a Lambert conformal conic chart is the|Scale at the Standard Parallels|Mean scale between the parallels of the secant cone|Mean scale between pole and equator|Scale at the equator|1
842 VISUAL FLIGHT RULES NAVIGATION (93)||85.On a Lambert Conformal Conic chart great circles that are not meridians are:|straight lines regardless of distance|curves concave to the parallel of origin|curves concave to the pole of projection|straight lines within the standard parallels|2
852 VISUAL FLIGHT RULES NAVIGATION (93)||86.A rhumb line on a Direct Mercator chart appears as a...|complex curve.|curve convex to the nearer pole.|straight line.|small circle concave to the nearer pole.|3
862 VISUAL FLIGHT RULES NAVIGATION (93)||87.Two positions at the same latitude are marked on a Polar Stereographic chart and the meridians at those positions converge with an angle of 30Â°. The effect of this convergence is that the true track of...|the rhumb line and great circle route between those two positions will differ by 30Â° at either position.|the great circle route between those two positions will change by 30Â°.|the rhumb line route between those two positions will change by 30Â°.|a straight line drawn between those two positions will change by 30Â°.|4
872 VISUAL FLIGHT RULES NAVIGATION (93)||88.Which chart characteristic achieves the ICAO requirement of a straight line on an en-route chart approximating to a great circle track on the Earth?|Meridians and parallels of latitude intersect at 90Â°.|Chart convergence approximates to Earth convergence.|The chart conversion angle must be less than 30Â°.|The scale must change at the same rate in all directions.|1
882 VISUAL FLIGHT RULES NAVIGATION (93)||89.An aeronautical chart is conformal when:|every great circle is represented by a straight line in the map.|the map is an equidistant normal projection.|At any point the scale over a short distance in the direction of the parallel is equal to the scale in the direction of the meridian and the meridians are perpendicular to the parallels.|the meridians and parallels are perpendicular to each other.|3
892 VISUAL FLIGHT RULES NAVIGATION (93)||90.On a Lambert conformal conic chart the convergence of the meridians...|equals earth convergency at the standard parallels.|is the same as earth convergency at the parallel of origin.|is zero throughout the chart.|varies as the secant of the latitude.|2
902 VISUAL FLIGHT RULES NAVIGATION (93)||91.On which of the following chart projections is it NOT possible to represent the north or South Poles?|Transverse Mercator|Direct Mercator|Lambert's conformal|Polar stereographic|2
912 VISUAL FLIGHT RULES NAVIGATION (93)||92.Select the correct statement regarding great circles on a Direct Mercator chart.|They are all curves concave to the Equator.|They are all curves convex to the Equator.|They approximate to straight lines between the standard parallels.|With the exception of meridians and the Equator, they are curves concave to the Equator.|4
